Should cellphones be used during class?	No, imagine you were a teacher and everybody would just concentrate on their smartphones? How would that feel?	contradict	stance
Has anyone been on the moon?	The moon is so far away, we should focus on our society.	contradict	stance
Is it justified to develop nuclear energy for commercial use?	The green party in Germany has the opinion, that nuclear reactors are bad for us. It is not ok	contradict	stance
Do social networking sites have a positive impact on society?	No, not at all. Nowadays kids spend all time playing around with tablets and smartphones, which is kinda detrimental to their proper development.	contradict	stance
Should driving under the influence of alcohol be forbidden?	Yes,  whoever drinks and drives has a bad reaction time. People might die.	support	stance
Should gorillas be held in zoos	the natural habitat of the guerrilla is in jeopardy of not existing. Zoo's provide something of a to ensure survival of the species. Zoos may not always be ideal, but it is better than the alternatives.	support	stance
Should computers be allowed in class rooms?	Computers are bad for the development of childrens brains.	contradict	stance
Should Christians accept same sex marriage?	Of course same-sex marriage should be allowed.	support	stance
Do we need a global environment task force?	The global taskforce for human rights is doing a good job. Thats why we need one for environment,  too.	support	stance
Should marijuana be legalized for individual use due to health condition?	Under no circumstances should marijuana be legalized.	contradict	stance
Is Christianity a peaceful religion?	Christianity teaches to try to make everyone happy. Unlike other religions that build up on hate...	support	stance
Is the oppression of women by men a serious problem?	We shouldn't allow men to oppress women.	support	stance
Should animals have special rights?	Regarding this argumentation you have the IQ of an insect.  Do you think you need special rights?	contradict	stance
Is nuclear power a reasonable energy source?	Nuclear power was the reason of death of millions of people. It should vanish from this planet	contradict	stance
Is the oppression of women by men a serious problem?	Nah my Dad says he treats my Mom nice so I know there isn't an issue here.	contradict	stance
Do celebrities get away with more crime than non-celebrities?	Celebrities suck. They do just want to get more famous, thats all...	support	stance
Is veganism the best for our bodies?	humans are omnivores, we need both meat and vegetables.	contradict	stance
Is democracy the best system available?	good point. why not	contradict	stance
Has television destroyed the communication among friends and family?	just a test argument	support	stance
Is Christianity a peaceful religion?	You are the antichrist, you want to destroy our belief in god.	support	stance
Is Microsoft the new Apple?	Don't you dare call Miscrosoft the new Apple, Steve Jobs just died, are you trying to upset his family?	contradict	stance
Is it reasonable to be in talks with Baschar al-Assad?	There is only one way to stop a war and that is with diplomacy. We have enough historical examples for this.	support	stance
Is it reasonable to be in talks with Baschar al-Assad?	Absolutely not. My father has always told me that you should not negotiate with dictators.	contradict	stance
Should cellphones be used during class?	That has nothing to do with this argument and you know it!	contradict	stance
Is it effective to censor parts of the media?	It is effective to censor parts of the media, because you never know who is watching.	support	stance
Should jobs be subcontracted into developing countries?	but it gives less power to employees and the recruiting quality decreases	contradict	stance
Is tupac the most influential rapper in history?	he was a big influence	contradict	stance
The greek exit from the EU is a necessary step.	"We are not going to ""reconsider the rules"" just to save one foul egg in the basket. I assure you that the Greeks are not worthy of this much effort and I am not going to waste my time arguing about such an irrelevant and obviously absurd suggestion."	support	stance
Should animals have special rights?	Why don't we let them be our mayors then once they will be granted rights?	contradict	stance
Has anyone been on the moon?	No, i saw a video from a guy on youtube. Therein he presents, that the landing is completely faked. The state seems to have organized this in order to beat the russians.	contradict	stance
Is it justified to develop nuclear energy for commercial use?	Me either, its bad for the earth and everyone else	contradict	stance
Is there a good reason for the American war on terror?	If you fight once you will never stop fighting. Never start!	contradict	stance
Should gorillas be held in zoos	Because gorillas may make people frightened and all the children are very afraid of gorillas	contradict	stance
Is nuclear power a reasonable energy source?	No, because it has the power to literally wipe out an entire country. That is just too emotionally distressful for people to bear. We woud never be able to rebuild.	contradict	stance
Do celebrities get away with more crime than non-celebrities?	do the best for best one who really need it ..............................must see what happpen	support	stance
Has anyone been on the moon?	The Apollo missions were all faked. No one has ever been on the moon.	contradict	stance
Should the fight versus the Islamic State include military operations?	Yes, the Islamic state is becoming too big to fight without military operations.	support	stance
Is the oppression of women by men a serious problem?	They should have the same rights, but it is fact, that they have not. Look at India, women are raped there on a daily basis.	contradict	stance
Is global warming really an issue?	Yes, all the polar-bears are dying, and we are next.	support	stance
Should we allow animal testing for medical purposes?	I am a hunter. Animals need to die in order to keep balance in the forest.	support	stance
Should the fight versus the Islamic State include military operations?	Yeah, and you are a guy who loves war,  thats it. You like it when people die.	contradict	stance
Are single sex schools more effective than co-ed schools?	Young boys don't need get more distracted than they already are these days. Schools have to find better ways to discipline their kids.	contradict	stance
Is Apple the new Microsoft?	It's revenue and stock price is increasing like anything!	support	stance
Do social networking sites have a positive impact on society?	yes they allow us to connect	contradict	stance
Do celebrities get away with more crime than non-celebrities?	But if you read some investigative journalists, you'll find out the truth...	support	stance
Do school uniforms make school a more effective place to learn?	I don't think school uniforms can influence the pupils' performance.	contradict	stance
Will flying cars ever become a reality?	Yes, if the scientifical progress stays the same as the last 200 years.	support	stance
Is it beneficial for the development of young children to study together with people with mental handicaps?	The handicaps will hinder the education of the normal kids	contradict	stance
Is tupac the most influential rapper in history?	eminem was like MLK for white people in the rap community...	contradict	stance
Is it justified to develop nuclear energy for commercial use?	I guess you don't care about the environment or our future descendants then?	contradict	stance
Has anyone been on the moon?	Yes the man has been on the moon.	support	stance
